mien,ma_dai,ten_dai,ngay_mo_thuong,ten_dai2
BẮC,MB,Công Ty Tnhh Mtv Xổ Số Kiến Thiết Thủ Đô,HÀNG NGÀY,ha-noi
TRUNG,HUE,Thừa Thiên Huế,THỨ 2,thua-thien-hue
TRUNG,PY,Phú Yên,THỨ 2,phu-yen
TRUNG,DLK,Đắk Lắk,THỨ 3,dak-lak
TRUNG,QNM,Quảng Nam,THỨ 3,quang-nam
TRUNG,DNG,Đà Nẵng,THỨ 4,da-nang
TRUNG,KH,Khánh Hòa,THỨ 4,khanh-hoa
TRUNG,BDI,Bình Định,THỨ 5,binh-dinh
TRUNG,QB,Quảng Bình,THỨ 5,quang-binh
TRUNG,QT,Quảng Trị,THỨ 5,quang-tri
TRUNG,GL,Gia Lai,THỨ 6,gia-lai
TRUNG,NT,Ninh Thuận,THỨ 6,ninh-thuan
TRUNG,DNG,Đà Nẵng,THỨ 7,da-nang
TRUNG,QNG,Quảng Ngãi,THỨ 7,quang-ngai
TRUNG,DNO,Đắk Nông,THỨ 7,dak-nong
TRUNG,KH,Khánh Hòa,CHỦ NHẬT,khanh-hoa
TRUNG,KT,Kon Tum,CHỦ NHẬT,kon-tum
NAM,HCM,Tp. Hồ Chí Minh,THỨ 2 & THỨ 7,tp-hcm
NAM,DT,Đồng Tháp,THỨ 2,dong-thap
NAM,CM,Cà Mau,THỨ 2,ca-mau
NAM,BR,Bến Tre,THỨ 3,ben-tre
NAM,VT,Vũng Tàu,THỨ 3,vung-tau
NAM,BL,Bạc Liêu,THỨ 3,bac-lieu
NAM,CT,Cần Thơ,THỨ 4,can-tho
NAM,DN,Đồng Nai,THỨ 4,dong-nai
NAM,ST,Sóc Trăng,THỨ 4,soc-trang
NAM,TN,Tây Ninh,THỨ 5,tay-ninh
NAM,AG,An Giang,THỨ 5,an-giang
NAM,BTH,Bình Thuận,THỨ 5,binh-thuan
NAM,VL,Vĩnh Long,THỨ 6,vinh-long
NAM,BD,Bình Dương,THỨ 6,binh-duong
NAM,TV,Trà Vinh,THỨ 6,tra-vinh
NAM,LA,Long An,THỨ 7,long-an
NAM,BP,Bình Phước,THỨ 7,binh-phuoc
NAM,HG,Hậu Giang,THỨ 7,hau-giang
NAM,TG,Tiền Giang,CHỦ NHẬT,tien-giang
NAM,KG,Kiên Giang,CHỦ NHẬT,kien-giang
NAM,LD,Đà Lạt (Lâm Đồng),CHỦ NHẬT,da-lat
